id_emplacement,code_emplacement,id_entrepot,zone,type_emplacement,actif,Volume (m3),Unnamed: 7,floor,position,full_code,x,y,z,dist_from_receipt,dist_from_expedition,total_distance
430,0A-02-01,235,B7-PCK,PICKING,True,,,0A,02-01,0A-02-01,1,2,0,3,5,8
434,0A-02-02,235,B7-PCK,PICKING,True,,,0A,02-02,0A-02-02,2,2,0,4,4,8
438,0A-02-03,235,B7-PCK,PICKING,True,,,0A,02-03,0A-02-03,3,2,0,5,3,8
442,0B-01-01,235,B7-PCK,PICKING,True,,,0B,01-01,0B-01-01,1,1,0,2,6,8
446,0B-01-02,235,B7-PCK,PICKING,True,,,0B,01-02,0B-01-02,2,1,0,3,5,8
450,0B-01-03,235,B7-PCK,PICKING,True,,,0B,01-03,0B-01-03,3,1,0,4,4,8
454,0B-02-01,235,B7-PCK,PICKING,True,,,0B,02-01,0B-02-01,1,2,0,3,5,8
458,0B-02-02,235,B7-PCK,PICKING,True,,,0B,02-02,0B-02-02,2,2,0,4,4,8
462,0B-02-03,235,B7-PCK,PICKING,True,,,0B,02-03,0B-02-03,3,2,0,5,3,8
466,0B-03-01,235,B7-PCK,PICKING,True,ùù,²312,0B,03-01,0B-03-01,1,3,0,4,4,8
470,0B-03-02,235,B7-PCK,PICKING,True,,,0B,03-02,0B-03-02,2,3,0,5,3,8
474,0B-03-03,235,B7-PCK,PICKING,True,,,0B,03-03,0B-03-03,3,3,0,6,2,8
478,0C-01-01,235,B7-PCK,PICKING,True,,,0C,01-01,0C-01-01,1,1,0,2,6,8
482,0C-01-02,235,B7-PCK,PICKING,True,,,0C,01-02,0C-01-02,2,1,0,3,5,8
486,0C-01-03,235,B7-PCK,PICKING,True,,,0C,01-03,0C-01-03,3,1,0,4,4,8
680,0C-02-01,235,B7-PCK,PICKING,True,,,0C,02-01,0C-02-01,1,2,0,3,5,8
684,0C-02-02,235,B7-PCK,PICKING,True,,,0C,02-02,0C-02-02,2,2,0,4,4,8
688,0C-02-03,235,B7-PCK,PICKING,True,,,0C,02-03,0C-02-03,3,2,0,5,3,8
692,0D-01-01,235,B7-PCK,PICKING,True,,,0D,01-01,0D-01-01,1,1,0,2,6,8
696,0D-01-02,235,B7-PCK,PICKING,True,,,0D,01-02,0D-01-02,2,1,0,3,5,8
700,0D-01-03,235,B7-PCK,PICKING,True,,,0D,01-03,0D-01-03,3,1,0,4,4,8
704,0D-02-01,235,B7-PCK,PICKING,True,,,0D,02-01,0D-02-01,1,2,0,3,5,8
708,0D-02-02,235,B7-PCK,PICKING,True,,,0D,02-02,0D-02-02,2,2,0,4,4,8
712,0D-02-03,235,B7-PCK,PICKING,True,,,0D,02-03,0D-02-03,3,2,0,5,3,8
716,0D-03-01,235,B7-PCK,PICKING,True,,,0D,03-01,0D-03-01,1,3,0,4,4,8
720,0D-03-02,235,B7-PCK,PICKING,True,,,0D,03-02,0D-03-02,2,3,0,5,3,8
724,0D-03-03,235,B7-PCK,PICKING,True,,,0D,03-03,0D-03-03,3,3,0,6,2,8
728,0E-01-01,235,B7-PCK,PICKING,True,,,0E,01-01,0E-01-01,1,1,0,2,6,8
732,0E-01-02,235,B7-PCK,PICKING,True,,,0E,01-02,0E-01-02,2,1,0,3,5,8
736,0E-01-03,235,B7-PCK,PICKING,True,,,0E,01-03,0E-01-03,3,1,0,4,4,8
740,0E-02-01,235,B7-PCK,PICKING,True,,,0E,02-01,0E-02-01,1,2,0,3,5,8
744,0E-02-02,235,B7-PCK,PICKING,True,,,0E,02-02,0E-02-02,2,2,0,4,4,8
748,0E-02-03,235,B7-PCK,PICKING,True,,,0E,02-03,0E-02-03,3,2,0,5,3,8
752,0F-01-01,235,B7-PCK,PICKING,True,,,0F,01-01,0F-01-01,1,1,0,2,6,8
756,0F-01-02,235,B7-PCK,PICKING,True,,,0F,01-02,0F-01-02,2,1,0,3,5,8
760,0F-01-03,235,B7-PCK,PICKING,True,,,0F,01-03,0F-01-03,3,1,0,4,4,8
764,0F-02-01,235,B7-PCK,PICKING,True,,,0F,02-01,0F-02-01,1,2,0,3,5,8
768,0F-02-02,235,B7-PCK,PICKING,True,,,0F,02-02,0F-02-02,2,2,0,4,4,8
772,0F-02-03,235,B7-PCK,PICKING,True,,,0F,02-03,0F-02-03,3,2,0,5,3,8
776,0F-03-01,235,B7-PCK,PICKING,True,,,0F,03-01,0F-03-01,1,3,0,4,4,8
780,0F-03-02,235,B7-PCK,PICKING,True,,,0F,03-02,0F-03-02,2,3,0,5,3,8
784,0F-03-03,235,B7-PCK,PICKING,True,,,0F,03-03,0F-03-03,3,3,0,6,2,8
788,0G-01-01,235,B7-PCK,PICKING,True,,,0G,01-01,0G-01-01,1,1,0,2,6,8
792,0G-01-02,235,B7-PCK,PICKING,True,,,0G,01-02,0G-01-02,2,1,0,3,5,8
796,0G-01-03,235,B7-PCK,PICKING,True,,,0G,01-03,0G-01-03,3,1,0,4,4,8
800,0G-02-01,235,B7-PCK,PICKING,True,,,0G,02-01,0G-02-01,1,2,0,3,5,8
804,0G-02-02,235,B7-PCK,PICKING,True,,,0G,02-02,0G-02-02,2,2,0,4,4,8
808,0G-02-03,235,B7-PCK,PICKING,True,,,0G,02-03,0G-02-03,3,2,0,5,3,8
812,0H-01-01,235,B7-PCK,PICKING,True,,,0H,01-01,0H-01-01,1,1,0,2,6,8
816,0H-01-02,235,B7-PCK,PICKING,True,,,0H,01-02,0H-01-02,2,1,0,3,5,8
820,0H-01-03,235,B7-PCK,PICKING,True,,,0H,01-03,0H-01-03,3,1,0,4,4,8
